,label,id,fea_1,fea_2,fea_3,fea_4,fea_6,fea_7,fea_10,fea_11,less_1265,less_75000,between_3n4,not_0
0,0,58997607,0,1268.0,0,118000.0,0,2,330006,1.0,0.0,0.0,1.0,1.0
1,0,58985486,1,1298.0,2,149000.0,1,1,510069,222.5511177,0.0,0.0,0.0,1.0
2,0,58992134,1,1235.0,0,114000.0,1,2,450088,1.0,1.0,0.0,0.0,1.0
3,0,54988258,1,1320.5,0,119000.0,1,1,60043,212.1320344,0.0,0.0,0.0,1.0
4,0,59003950,0,1263.5,0,102000.0,0,0,60024,200.0,1.0,0.0,0.0,1.0
5,0,58999612,0,1220.0,2,140000.0,0,1,72010,1.0,1.0,0.0,0.0,1.0
6,0,59002170,0,1256.0,2,141000.0,0,1,60031,223.6067977,1.0,0.0,0.0,1.0
7,0,58994048,1,1239.5,2,99000.0,1,1,60027,1.0,1.0,0.0,0.0,1.0
8,0,58998405,0,1214.0,2,81000.0,0,1,60043,202.4845673,1.0,0.0,0.0,1.0
9,0,58985236,1,1265.0,2,135000.0,1,1,151300,231.721816,1.0,0.0,0.0,1.0
10,0,58984702,1,1310.0,2,325000.0,1,1,71000,1.0,0.0,0.0,0.0,1.0
11,0,58987035,1,1413.5,0,204000.0,1,0,350002,200.0,0.0,0.0,1.0,1.0
12,0,58991130,1,1340.0,2,341000.0,1,1,72001,1.0,0.0,0.0,0.0,1.0
13,0,58993767,1,1326.5,0,91000.0,1,0,450080,291.5475947,0.0,0.0,0.0,1.0
14,0,54982579,1,1338.5,2,325000.0,1,1,60033,316.22776600000003,0.0,0.0,0.0,1.0
15,0,59004373,0,1287.5,0,139000.0,0,1,60030,244.94897430000003,0.0,0.0,0.0,1.0
16,0,58988432,1,1289.0,0,139000.0,1,2,450033,214.4761059,0.0,0.0,0.0,1.0
17,0,58988044,1,1241.0,2,66000.0,1,0,350077,174.34448659999998,1.0,1.0,1.0,1.0
18,0,58988129,1,1187.0,2,102000.0,1,1,450081,197.4841766,1.0,0.0,0.0,1.0
19,0,54984524,1,1350.5,0,155000.0,1,0,60004,1.0,0.0,0.0,0.0,1.0
20,0,59000942,0,1268.0,2,149000.0,0,1,72001,173.20508080000002,0.0,0.0,0.0,1.0
21,0,58984757,1,1223.0,2,56000.0,1,1,151300,212.1320344,1.0,1.0,0.0,1.0
22,0,54991742,0,1245.5,2,50000.0,0,1,340017,300.0,1.0,1.0,1.0,1.0
23,0,59000851,0,1302.5,2,410000.0,0,0,60018,1.0,0.0,0.0,0.0,1.0
24,0,58990951,1,1379.0,2,144000.0,1,1,151008,200.0,0.0,0.0,0.0,1.0
25,0,58997104,1,1241.0,0,74000.0,1,1,72000,1.0,1.0,1.0,0.0,1.0
26,0,59004571,0,1241.0,0,115000.0,0,1,151300,221.3594362,1.0,0.0,0.0,1.0
27,0,54989125,0,1373.0,2,369000.0,0,2,330005,350.5923559,0.0,0.0,1.0,1.0
28,0,58994224,1,1274.0,0,328000.0,1,2,450000,244.94897430000003,0.0,0.0,0.0,1.0
